ppm,kHz,-30,100,160
584.9380362,234.0571058,-49.88769531,33.8112793,93.13671875
584.7473785,233.980816,-37.39477539,-1.522705078,64.5078125
584.5567207,233.9045262,-25.6809082,-26.19750977,3.50390625
584.3660629,233.8282364,-64.30493164,-22.96606445,1.9609375
584.1754051,233.7519466,-133.3435059,-18.79052734,44.8203125
583.9847474,233.6756568,-155.7331543,-38.65454102,57.84375
583.7940896,233.599367,-101.4980469,-55.22827148,40.87890625
583.6034318,233.5230772,-30.2956543,-28.86328125,60.08984375
583.4127741,233.4467874,-13.85302734,13.77661133,120.0039063
583.2221163,233.3704976,-50.84106445,5.630859375,138.1171875
583.0314585,233.2942078,-80.23193359,-46.14941406,69.984375
582.8408008,233.217918,-58.47241211,-46.27612305,-15.15625
582.650143,233.1416282,-1.990722656,46.96630859,-24.484375
582.4594852,233.0653384,40.80859375,134.8276367,43.65625
582.2688275,232.9890486,45.61499023,105.0056152,116.40625
582.0781697,232.9127588,33.81079102,0.626708984,139.4921875
581.8875119,232.836469,35.07299805,-29.00146484,110.5742188
581.6968541,232.7601792,37.25976563,63.69897461,48.21875
581.5061964,232.6838894,-0.959960938,157.7565918,-24.6640625
581.3155386,232.6075996,-79.82446289,127.1181641,-76.90625
581.1248808,232.5313098,-135.1323242,-4.661865234,-87.77734375
580.9342231,232.45502,-113.6992188,-115.0664063,-68.77734375
580.7435653,232.3787302,-42.97802734,-132.7248535,-42.15234375
580.5529075,232.3024404,15.56689453,-86.05834961,-7.45703125
580.3622498,232.2261506,55.86279297,-37.18408203,41.80078125
580.171592,232.1498608,109.53125,-19.79736328,78.19921875
579.9809342,232.073571,152.0473633,-28.10400391,56.94921875
579.7902765,231.9972812,108.2875977,-26.85766602,-20.3203125
579.5996187,231.9209914,-24.15673828,18.41259766,-92.0078125
579.4089609,231.8447016,-131.1767578,90.1574707,-105.375
579.2183031,231.7684118,-114.6049805,113.7268066,-77.01171875
579.0276454,231.692122,-19.38916016,42.73510742,-61.25390625
578.8369876,231.6158322,31.8034668,-60.734375,-70.26953125
578.6463298,231.5395424,-1.758544922,-78.56787109,-56.61328125
578.4556721,231.4632526,-50.90551758,23.44750977,13.2109375
578.2650143,231.3869628,-51.92822266,149.1567383,91.6328125
578.0743565,231.310673,-17.80859375,184.6037598,91.6875
577.8836988,231.2343832,14.11425781,126.3286133,0.34765625
577.693041,231.1580934,39.69238281,69.80151367,-88.6640625
577.5023832,231.0818036,61.34082031,86.30395508,-87.578125
577.3117255,231.0055138,51.08227539,143.286377,-29.58984375
577.1210677,230.929224,-13.08789063,153.7502441,-14.03515625
576.9304099,230.8529342,-92.6706543,86.49902344,-49.44140625
576.7397521,230.7766444,-113.638916,6.916748047,-33.83203125
576.5490944,230.7003546,-50.45727539,0.846679688,80.84375
576.3584366,230.6240648,40.21459961,71.1015625,188.6992188
576.1677788,230.547775,79.24609375,134.2810059,164.6835938
575.9771211,230.4714852,43.30078125,124.203125,41.859375
575.7864633,230.3951954,-27.59375,67.65063477,-36.87890625
575.5958055,230.3189056,-87.08813477,34.54785156,-12.87109375
